phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P5_full_matrix,planning_bots5_mid_none,1057767570,planning,none,5,mid,1,0,1200,0.3364,204,4,5910.02,0.0569,5.86148738861084
P5_full_matrix,planning_bots5_mid_none,1975784246,planning,none,5,mid,1,0,1200,0.4455,284,44,6315.9,0.0705,5.76898717880249
P5_full_matrix,planning_bots5_mid_none,647787361,planning,none,5,mid,1,0,1200,0.4,483,38,5730.06,0.0698,6.461431264877319
P5_full_matrix,planning_bots5_mid_none,546111082,planning,none,5,mid,1,0,1200,0.3455,504,37,5651.89,0.0611,5.932400465011597
P5_full_matrix,planning_bots5_mid_none,398737008,planning,none,5,mid,1,0,1200,0.3364,545,33,5410.29,0.0622,6.095137119293213
P5_full_matrix,planning_bots5_mid_none,152017266,planning,none,5,mid,1,0,1200,0.3455,623,11,5415.71,0.0638,6.2387330532073975
P5_full_matrix,planning_bots5_mid_none,1242366385,planning,none,5,mid,1,0,1200,0.3091,409,50,5337.08,0.0579,6.4623987674713135
P5_full_matrix,planning_bots5_mid_none,1639670183,planning,none,5,mid,1,0,1200,0.2909,474,43,5803.55,0.0501,7.537031888961792
P5_full_matrix,planning_bots5_mid_none,2126438881,planning,none,5,mid,1,0,1200,0.2818,692,35,4882.84,0.0577,6.260564804077148
P5_full_matrix,planning_bots5_mid_none,299818315,planning,none,5,mid,1,0,1200,0.3182,275,22,5954.46,0.0534,6.20773720741272
P5_full_matrix,planning_bots5_mid_none,60938082,planning,none,5,mid,1,0,1200,0.3364,573,40,5633.74,0.0597,6.5566041469573975
P5_full_matrix,planning_bots5_mid_basic,1358388703,planning,basic,5,mid,1,0,1200,0.3818,347,17,6066.78,0.0629,4.855820178985596
P5_full_matrix,planning_bots5_mid_basic,1550158795,planning,basic,5,mid,1,0,1200,0.2909,362,33,5048.87,0.0576,5.056041240692139
P5_full_matrix,planning_bots5_mid_basic,1715427396,planning,basic,5,mid,1,0,1200,0.2364,599,53,5363.84,0.0441,5.102039098739624
P5_full_matrix,planning_bots5_mid_basic,788286136,planning,basic,5,mid,1,0,1200,0.3364,178,13,5415.91,0.0621,5.173776865005493
P5_full_matrix,planning_bots5_mid_basic,1887472410,planning,basic,5,mid,1,0,1200,0.3182,464,10,5587.28,0.0569,4.587888479232788
P5_full_matrix,planning_bots5_mid_basic,542687997,planning,basic,5,mid,1,0,1200,0.3545,333,28,6095.77,0.0582,4.897171258926392
P5_full_matrix,planning_bots5_mid_basic,1030154475,planning,basic,5,mid,1,0,1200,0.3545,326,47,6453.83,0.0549,5.091079473495483
P5_full_matrix,planning_bots5_mid_basic,327994541,planning,basic,5,mid,1,0,1200,0.4,169,29,6132.86,0.0652,4.4278953075408936
P5_full_matrix,planning_bots5_mid_basic,1357812237,planning,basic,5,mid,1,0,1200,0.3,273,24,5504.99,0.0545,5.442193269729614
P5_full_matrix,planning_bots5_mid_basic,157624729,planning,basic,5,mid,1,0,1200,0.3,335,26,5312.09,0.0565,5.031285047531128
P5_full_matrix,planning_bots5_mid_basic,1852340115,planning,basic,5,mid,1,0,1200,0.4909,377,67,6333.09,0.0775,5.345473527908325
P5_full_matrix,planning_bots5_mid_basic,1490765447,planning,basic,5,mid,1,0,1200,0.4091,458,35,6525.91,0.0627,4.792092561721802
P5_full_matrix,planning_bots5_mid_basic,1129953797,planning,basic,5,mid,1,0,1200,0.3,281,41,5443.91,0.0551,5.381256580352783
P5_full_matrix,planning_bots5_mid_basic,1822058520,planning,basic,5,mid,1,0,1200,0.4545,449,53,6211.69,0.0732,4.8275580406188965
